id;domaine;appellation;millesime;couleur;cru;contenance;emplacement;date_entree;date_sortie;prix_achat;garde_min;garde_max;commentaire_entree;note_degus;commentaire_degus;fournisseur_nom;fournisseur_infos;producteur
0d2b110a-34c1-471d-a575-e206f7a3dbfd;Château Lynch-Bages;Pauillac;2018;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2021-06-15;;65;8;20;Achat en primeur 2018;;;Millésima;bordeaux-en-primeur.fr;
afe4b3e1-68a6-4a88-90c6-512d04cb7873;Les Pagodes de Cos;Saint-Estèphe;2019;Rouge;;75 cl;Cave > Casier 1;2022-03-10;;45;5;15;Sélection personnelle;;;Cave Nicolas;;
de3b48ad-152b-4462-a07f-a1cffc6e822b;Château Léoville Barton;Saint-Julien;2021;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2024-02-20;;55;8;20;Achat primeur 2021 — patience requise;;;Millésima;bordeaux-en-primeur.fr;
e7678f83-84fd-4dbd-9b75-64d1f1959ffe;Château Sociando-Mallet;Haut-Médoc;2017;Rouge;CRU BOURGEOIS;75 cl;Cave > Casier 1;2020-09-05;;25;7;15;Belle découverte rapport qualité-prix;;;Cave Nicolas;;
6368867f-6a42-469d-9fd3-9df5601d0b10;Château Pontet-Canet;Pauillac;2016;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2019-11-20;;75;8;18;Excellent millésime Pauillac;;;Château direct;;
d5ca8d74-d5cf-4390-8ec8-f29cd8238448;Château Mouton Rothschild;Pauillac;2015;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2019-04-01;;400;10;30;Cadeau anniversaire de mariage;;;Sotheby's Wine;sothebys.com;
ba73547b-5fe9-4272-9d21-d6ba8cb7fb95;Château Troplong Mondot;Saint-Émilion Grand Cru;2014;Rouge;GRAND CRU CLASSE;75 cl;Cave > Casier 1;2018-08-12;;60;8;10;À consommer sans tarder;;;Cave Nicolas;;
8b1516af-84d4-4df1-8c9a-53fe4efaf4c6;Château Gazin;Pomerol;2013;Rouge;;75 cl;Cave > Casier 1;2017-05-30;;70;8;10;Pomerol élégant;;;La Vinothèque;;
d25e96ba-7ff7-4b26-8aac-249b9997a1cf;Vieux Château Certan;Pomerol;2022;Rouge;;75 cl;Cave > Casier 1;2024-11-15;;130;10;25;Achat primeur 2022 — très prometteur;;;Millésima;bordeaux-en-primeur.fr;
384cf94b-7ea5-4527-b643-4935abd9a9de;Château La Tour de By;Médoc;2020;Rouge;CRU BOURGEOIS;75 cl;Cave > Casier 1;2023-01-08;;15;4;10;Bon rapport qualité-prix;;;Cave Nicolas;;
512f1fb2-2423-44d0-a5ac-0cc7c4873e0e;Château Cantemerle;Haut-Médoc;2018;Rouge;CRU CLASSE;75 cl;Cave > Casier 1;2021-07-22;;25;6;15;Classique Haut-Médoc;;;Grand Marché du Vin;;
8d0e7ea8-aca0-4e4e-bb34-fcc29ce19999;Château Beychevelle;Saint-Julien;2019;Rouge;CRU CLASSE;1,5 L (magnum);Cave > Casier 1;2022-12-20;;120;8;20;Magnum pour grande occasion;;;Château direct;;
66711f47-13d8-4edc-a41f-f8d03f4a34dc;Les Cherbaudes;Gevrey-Chambertin Premier Cru;2015;Rouge;1ER CRU;75 cl;Cave > Casier 2;2021-12-27;;90;8;15;Cadeau Noël 2021;;;;;
b6cf2124-7a9f-4c93-9bb1-3d96e6b2c499;Vignes de l'Enfant Jésus - Monopole;Beaune Premier Cru Les Grèves;2017;Rouge;1ER CRU;75 cl;Cave > Casier 2;2021-12-27;;90;6;12;Cadeau enfants et Thomas — Noël 2021;;;;;
bc1e4921-2039-4230-a163-1c2ab7057de2;Domaine de la Romanée-Conti;Vosne-Romanée;2019;Rouge;GRAND CRU;75 cl;Cave > Casier 2;2022-09-10;;350;8;20;Ne pas toucher avant 2027;;;Cavissima;cavissima.com;
b49ea20e-6c1f-45d5-bff1-c4da6df22022;Domaine Leroy;Nuits-Saint-Georges;2016;Rouge;1ER CRU;75 cl;Cave > Casier 2;2020-06-15;;180;8;15;Coup de cœur;;;La Vinothèque;;
82c7a966-16c6-4b12-96c1-f7ea17ed08fa;Domaine Dujac;Chambolle-Musigny Premier Cru;2018;Rouge;1ER CRU;75 cl;Cave > Casier 2;2021-04-20;;85;6;12;Élégance bourguignonne;;;La Vinothèque;;
4b0e0417-0ed3-4cbb-965c-1a1cd24e18ad;Joseph Drouhin;Pommard Premier Cru Les Pézerolles;2014;Rouge;1ER CRU;75 cl;Cave > Casier 2;2018-03-01;;40;6;10;À boire maintenant;;;Cave Nicolas;;
17ab4d30-e2a5-412e-bb90-598a06240ea0;Bouchard Père & Fils;Chambertin Clos de Bèze Grand Cru;2020;Rouge;GRAND CRU;75 cl;Cave > Casier 2;2023-10-05;;150;8;20;Grand cru de garde — attendre 2028;;;Cavissima;cavissima.com;
db102be1-7b78-43a8-a6aa-ed507b012607;Domaine Leflaive;Puligny-Montrachet 1er Cru Les Folatières;2021;Blanc;1ER CRU;75 cl;Cave > Casier 2;2023-09-14;;120;6;12;Encore trop jeune — attendre 2027;;;Cavissima;cavissima.com;
5f272ca0-c23b-4ceb-9c29-8038b5faa1e7;Domaine Ramonet;Chassagne-Montrachet 1er Cru Les Ruchottes;2019;Blanc;1ER CRU;75 cl;Cave > Casier 2;2022-05-18;;95;5;10;Ramonet incontournable;;;La Vinothèque;;
9b767684-aecb-463f-9e02-6d58d5ce2e75;Louis Latour;Meursault;2020;Blanc;;75 cl;Cave > Casier 2;2022-11-30;;35;5;10;Meursault accessible et généreux;;;Cave Nicolas;;Domaine Louis Latour
65614344-62bc-42ea-8e36-2e9f92575916;Domaine William Fèvre;Chablis Grand Cru Les Clos;2022;Blanc;GRAND CRU;75 cl;Cave > Casier 2;2024-04-07;;55;5;12;Grand Cru Chablis — à attendre;;;La Vinothèque;;
4d2f14b5-700b-4874-bdd0-eba55b20c17a;Domaine Leflaive;Bourgogne Blanc;2023;Blanc;;75 cl;Cave > Casier 2;2024-08-01;;;;;Entree de gamme Leflaive;;;;La Vinothèque;
71e2ba8f-0f4d-44c9-8ec8-b4f7c72ceeba;Henri Bourgeois;Sancerre La Bourgeoise;2023;Blanc;;75 cl;Cave > Casier 3 > Gauche;2024-06-10;;22;4;8;Sancerre haut de gamme — attendre 2027;;;Cave Nicolas;;
fbb82e27-a635-4e2c-bd2c-b90add9ba4f9;Didier Dagueneau;Pouilly-Fumé Silex;2021;Blanc;;75 cl;Cave > Casier 3 > Gauche;2023-03-22;;55;3;8;Minéralité unique;;;La Vinothèque;;
